144,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,10,9
145,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,8,7
146,Harvard Kennedy School at Bennett St / Eliot St,42.37199165,-71.12226963,12,11
147,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,8,7
148,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,10,9
149,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,8,7
150,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,10,9
151,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,8,7
152,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,10,9
153,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,9,8
154,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,10,9
155,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,10,9
156,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,10,9
157,Binney St / Sixth St,42.366095,-71.086388,10,9
158,Porter Square Station,42.387995,-71.119084,10,9
159,Dana Park,42.36178044,-71.10809952,10,9
160,Danehy Park,42.388966,-71.132788,9,8
161,Kendall Street,42.36356016,-71.08216792,8,7
162,Alewife Station at Russell Field,42.396105,-71.139459,12,11
163,EF - North Point Park,42.369885,-71.069957,12,11
164,Rindge Avenue - O'Neill Library,42.392766,-71.129042,10,9
165,Ames St at Main St,42.3625,-71.08822,10,9
166,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,10,9
167,Lesley University,42.38674802,-71.11901879,8,7
168,University Park,42.36264779,-71.10006094,10,9
169,MIT Pacific St at Purrington St,42.3595732,-71.10129476,10,9
170,MIT Vassar St,42.35560121,-71.10394478,13,12
171,Mt Auburn,42.37478629,-71.13320231,10,9
172,Museum of Science,42.3676902,-71.0711628,10,9
173,Alewife MBTA at Steel Place,42.39558846,-71.14260614,12,11
174,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,10,9
175,Third at Binney,42.36544486,-71.08277142,8,7
176,Brian P. Murphy Staircase at Child Street,42.3720597,-71.07202649,12,11
177,Verizon Innovation Hub 10 Ware Street,42.3725086,-71.1130536,10,9
178,Fresh Pond Reservation,42.3826783,-71.143479,10,9
179,Cambridge Dept. of Public Works -147 Hampshire St.,42.3711973,-71.0975987,10,9
180,Somerville City Hall,42.386844,-71.09812,8,7
181,Union Square - Somerville,42.379637,-71.095319,10,9
182,Beacon St at Washington / Kirkland,42.37842,-71.105668,8,7
183,Conway Park - Somerville Avenue,42.383405,-71.107593,8,7
184,Wilson Square,42.385582,-71.113341,8,7
185,Davis Square,42.396969,-71.123024,13,12
186,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,8,7
187,Packard Ave / Powderhouse Blvd,42.40449,-71.123413,8,7
188,Clarendon Hill at Broadway,42.39082,-71.10942,8,7
189,Teele Square at 239 Holland St,42.402763,-71.126908,8,7
190,Magoun Square at Trum Field,42.398365,-71.107818,8,7
191,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,8,7
192,Silber Way,42.349496,-71.1005759,10,9
